# SN dust phases and masses compiled by T. Moore (STScI) 11 October 2025. Please do reach out if there are errors or if I have missed your favorite SN. Please contact T. Moore on Slack or at tmoore@stsci.edu
SN,epoch,type,dust_mass,telescope,ref,ads link
SN 2005ip,6376,IIn,0.08,JWST,Shahbandeh+25,https://ui.adsabs.harvard.edu/abs/2025ApJ...985..262S/abstract
SN 1987A,1153,II,0.003,Herschel,Wesson+15,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.2089W/abstract
SN 1987A,8857,II,0.7,Herschel,Wesson+15,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.2089W/abstract
SN 2014C,3477,Ic,0.078,JWST,Tinyanont+25,https://ui.adsabs.harvard.edu/abs/2025ApJ...985..198T/abstract
SN 2004et,6587,IIP,0.022,JWST,Shahbandeh+23,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.6048S/abstract
SN 2017eaw,1955,IIP,0.0004,JWST,Shahbandeh+23,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.6048S/abstract
SN 1980K,15302,IIL,0.002,JWST,szanna+24,https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..155Z/abstract
SN 2005af,6767,II,0.02,JWST,Sarangi+25,https://ui.adsabs.harvard.edu/abs/2025arXiv250420574S/abstract
SN 2013ai,3965,II,0.04,JWST,Moore+(In Prep),
SN 1996cr,10345,IIn,0.04,JWST,,
SN 1983V,14141,Ic,0.01,JWST,Kressy +(In Prep.),
SN 2021afdx,200,II,0.0038,JWST,Hosseinzadeh+23,https://ui.adsabs.harvard.edu/abs/2023ApJ...942L..18H/abstract
SN 1993J,11280,IIb,0.01,JWST,Szalai+25,https://ui.adsabs.harvard.edu/abs/2025A%26A...697A.132S/abstract
SN 1995N,5000,IIn,0.4,Spitzer,Wesson+23,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4928W/abstract
SN 2003gd ,496,IIP,6e-05,Spitzer ,Meikle+,https://ui.adsabs.harvard.edu/abs/2007ApJ...665..608M/abstract
SN 2003gd ,670,IIP,4e-05,Spitzer,Meikle+,https://ui.adsabs.harvard.edu/abs/2007ApJ...665..608M/abstract
SN 2006bc,600,II,0.002,Spitzer,Gallagher+18,https://ui.adsabs.harvard.edu/abs/2012ApJ...753..109G/abstract
SN 2001gd,952,IIb,2.1e-06,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
